date,/g/12nwxv98s_unscaled,/g/12nwxv98s_monthly,isPartial,scale,/g/12nwxv98s
2023-09-16,0,0.0,,0.0,0.0
2023-09-17,61,0.0,False,0.0,0.0
2023-09-18,0,0.0,,0.0,0.0
2023-09-19,0,0.0,,0.0,0.0
2023-09-20,0,0.0,,0.0,0.0
2023-09-21,0,0.0,,0.0,0.0
2023-09-22,0,0.0,,0.0,0.0
2023-09-23,0,0.0,,0.0,0.0
2023-09-24,0,38.0,False,0.38,0.0
2023-09-25,0,38.0,,0.38,0.0
2023-09-26,47,38.0,,0.38,17.86
2023-09-27,0,38.0,,0.38,0.0
2023-09-28,0,38.0,,0.38,0.0
2023-09-29,59,38.0,,0.38,22.42
2023-09-30,0,38.0,,0.38,0.0
2023-10-01,0,0.0,False,0.0,0.0
2023-10-02,0,0.0,,0.0,0.0
2023-10-03,41,0.0,,0.0,0.0
2023-10-04,54,0.0,,0.0,0.0
2023-10-05,0,0.0,,0.0,0.0
2023-10-06,0,0.0,,0.0,0.0
2023-10-07,0,0.0,,0.0,0.0
2023-10-08,0,24.0,False,0.24,0.0
2023-10-09,0,24.0,,0.24,0.0
2023-10-10,0,24.0,,0.24,0.0
2023-10-11,45,24.0,,0.24,10.799999999999999
2023-10-12,0,24.0,,0.24,0.0
2023-10-13,0,24.0,,0.24,0.0
2023-10-14,0,24.0,,0.24,0.0
2023-10-15,0,33.0,False,0.33,0.0
2023-10-16,0,33.0,,0.33,0.0
2023-10-17,59,33.0,,0.33,19.470000000000002
2023-10-18,0,33.0,,0.33,0.0
2023-10-19,0,33.0,,0.33,0.0
2023-10-20,0,33.0,,0.33,0.0
2023-10-21,0,33.0,,0.33,0.0
2023-10-22,100,23.0,False,0.23,23.0
2023-10-23,0,23.0,,0.23,0.0
2023-10-24,81,23.0,,0.23,18.630000000000003
2023-10-25,0,23.0,,0.23,0.0
2023-10-26,0,23.0,,0.23,0.0
2023-10-27,0,23.0,,0.23,0.0
2023-10-28,0,23.0,,0.23,0.0
2023-10-29,0,27.0,False,0.27,0.0
2023-10-30,73,27.0,,0.27,19.71
2023-10-31,79,27.0,,0.27,21.330000000000002
2023-11-01,59,27.0,,0.27,15.930000000000001
2023-11-02,34,27.0,,0.27,9.18
2023-11-03,70,27.0,,0.27,18.900000000000002
2023-11-04,0,27.0,,0.27,0.0
2023-11-05,0,0.0,False,0.0,0.0
2023-11-06,0,0.0,,0.0,0.0
2023-11-07,100,0.0,,0.0,0.0
2023-11-08,0,0.0,,0.0,0.0
2023-11-09,0,0.0,,0.0,0.0
2023-11-10,0,0.0,,0.0,0.0
2023-11-11,28,0.0,,0.0,0.0
2023-11-12,51,34.0,False,0.34,17.34
2023-11-13,22,34.0,,0.34,7.48
2023-11-14,0,34.0,,0.34,0.0
2023-11-15,33,34.0,,0.34,11.22
2023-11-16,0,34.0,,0.34,0.0
2023-11-17,0,34.0,,0.34,0.0
2023-11-18,0,34.0,,0.34,0.0
2023-11-19,0,31.0,False,0.31,0.0
2023-11-20,0,31.0,,0.31,0.0
2023-11-21,0,31.0,,0.31,0.0
2023-11-22,39,31.0,,0.31,12.09
2023-11-23,0,31.0,,0.31,0.0
2023-11-24,0,31.0,,0.31,0.0
2023-11-25,27,31.0,,0.31,8.37
2023-11-26,0,37.0,False,0.37,0.0
2023-11-27,0,37.0,,0.37,0.0
2023-11-28,0,37.0,,0.37,0.0
2023-11-29,72,37.0,,0.37,26.64
2023-11-30,0,37.0,,0.37,0.0
2023-12-01,49,37.0,,0.37,18.13
2023-12-02,0,37.0,,0.37,0.0
2023-12-03,0,24.0,False,0.24,0.0
2023-12-04,0,24.0,,0.24,0.0
2023-12-05,0,24.0,,0.24,0.0
2023-12-06,0,24.0,,0.24,0.0
2023-12-07,0,24.0,,0.24,0.0
2023-12-08,0,24.0,,0.24,0.0
2023-12-09,0,24.0,,0.24,0.0
2023-12-10,100,0.0,False,0.0,0.0
2023-12-11,24,0.0,,0.0,0.0
2023-12-12,0,0.0,,0.0,0.0
2023-12-13,0,0.0,,0.0,0.0
2023-12-14,0,0.0,,0.0,0.0
2023-12-15,0,0.0,,0.0,0.0
2023-12-16,62,0.0,,0.0,0.0
2023-12-17,0,28.0,False,0.28,0.0
2023-12-18,0,28.0,,0.28,0.0
2023-12-19,0,28.0,,0.28,0.0
2023-12-20,0,28.0,,0.28,0.0
2023-12-21,0,28.0,,0.28,0.0
2023-12-22,22,28.0,,0.28,6.16
2023-12-23,0,28.0,,0.28,0.0
2023-12-24,0,0.0,False,0.0,0.0
2023-12-25,0,0.0,,0.0,0.0
2023-12-26,0,0.0,,0.0,0.0
2023-12-27,0,0.0,,0.0,0.0
2023-12-28,0,0.0,,0.0,0.0
2023-12-29,0,0.0,,0.0,0.0
2023-12-30,30,0.0,,0.0,0.0
2023-12-31,0,50.0,False,0.5,0.0
2024-01-01,0,50.0,,0.5,0.0
2024-01-02,42,50.0,,0.5,21.0
2024-01-03,25,50.0,,0.5,12.5
2024-01-04,0,50.0,,0.5,0.0
2024-01-05,0,50.0,,0.5,0.0
2024-01-06,0,50.0,,0.5,0.0
2024-01-07,0,32.0,False,0.32,0.0
2024-01-08,0,32.0,,0.32,0.0
2024-01-09,0,32.0,,0.32,0.0
2024-01-10,31,32.0,,0.32,9.92
2024-01-11,0,32.0,,0.32,0.0
2024-01-12,0,32.0,,0.32,0.0
2024-01-13,65,32.0,,0.32,20.8
2024-01-14,0,26.0,False,0.26,0.0
2024-01-15,0,26.0,,0.26,0.0
2024-01-16,25,26.0,,0.26,6.5
2024-01-17,0,26.0,,0.26,0.0
2024-01-18,0,26.0,,0.26,0.0
2024-01-19,0,26.0,,0.26,0.0
2024-01-20,0,26.0,,0.26,0.0
2024-01-21,0,61.0,False,0.61,0.0
2024-01-22,24,61.0,,0.61,14.64
2024-01-23,100,61.0,,0.61,61.0
2024-01-24,0,61.0,,0.61,0.0
2024-01-25,0,61.0,,0.61,0.0
2024-01-26,0,61.0,,0.61,0.0
2024-01-27,0,61.0,,0.61,0.0
2024-01-28,0,0.0,True,0.0,0.0
2024-01-29,0,0.0,,0.0,0.0
2024-01-30,0,0.0,,0.0,0.0
2024-01-31,0,0.0,,0.0,0.0
