,Altcoin,BIT,Bitcoin Address,Bitcoin Investment,Bitcoin Mining,Bitcoin News,Bitcoin Price,Bitcoin Wallet,Bitcoin,Block,Blockchain,BTC,Crypto,Cryptocurrency,Cryptography,DAPP,DeFi,Digital Currency,Ethereum,Fiat money,Fork,Hash Rate,ICO,P2P,Private Key,Stablecoin
12,70.4,67.23,37.44,13.4,52.080000000000005,20.0,12.6,30.53,17.86,23.1,25.5,14.76,51.85,46.98,54.29,47.52,0.0,10.34,51.62,26.22,45.12,24.36,55.44,57.62,72.21,28.000000000000004
13,38.72,55.89,25.2,46.23,34.720000000000006,11.5,9.66,52.54,14.57,19.6,19.8,10.25,43.35,46.98,32.94,34.32,0.0,4.95,40.94,24.7,37.44,72.24,36.12,36.98,57.27,14.28
14,44.0,55.080000000000005,23.04,37.52,26.320000000000004,12.0,7.56,34.08,12.22,18.9,16.2,9.84,39.95,39.15,24.4,30.8,0.0,4.4,34.71,20.52,36.96,63.84,36.12,22.36,40.67,11.48
15,40.32,69.66000000000001,20.77,39.52,34.2,18.46,12.0,29.25,14.0,21.6,12.96,12.32,53.940000000000005,49.14,21.45,63.99,0.0,8.32,38.27,19.98,37.72,46.06,59.04,45.75,21.0,15.5
16,47.88,56.7,16.080000000000002,33.44,22.5,22.01,10.5,20.15,13.5,19.44,12.96,11.0,49.29,50.05,48.1,26.07,0.0,3.38,37.38,23.68,33.58,43.24,38.54,29.25,36.4,22.0
17,47.88,49.41,10.05,38.76,22.5,19.17,11.5,20.15,16.5,19.44,18.630000000000003,13.2,46.5,43.68,52.0,58.46,0.0,3.9,36.49,23.31,31.74,94.0,47.56,43.5,38.5,18.0
18,31.92,52.650000000000006,30.82,39.52,24.75,14.2,10.0,24.05,13.5,19.8,20.25,10.56,44.64,44.59,44.2,41.08,0.0,4.29,33.82,18.5,33.58,71.44,36.08,33.75,47.6,16.0
19,49.56,53.46,28.14,12.92,21.15,18.46,10.5,22.1,14.0,20.52,17.01,11.0,47.43,43.68,50.7,16.59,0.0,9.23,34.71,21.46,32.2,94.0,43.46,45.75,55.3,12.75
20,46.2,55.89,26.130000000000003,51.68,22.5,68.86999999999999,29.5,0.0,32.0,22.32,14.85,25.96,85.56,77.35000000000001,41.6,38.71,0.0,13.0,61.41,23.68,31.74,77.08,50.02,44.25,41.3,19.0
21,68.03999999999999,56.7,19.43,23.56,24.75,71.0,37.5,16.25,38.5,21.96,17.82,29.92,93.0,91.0,27.95,33.97,0.0,6.24,68.53,31.08,36.34,27.26,58.22,42.0,21.7,16.0
22,46.08,61.77,32.160000000000004,59.8,32.0,36.92,34.68,34.78,35.1,27.6,21.39,28.91,57.04,54.9,29.4,43.0,0.0,10.66,57.0,31.82,36.75,36.04,41.31,40.48,33.54,12.22
23,31.36,87.0,14.07,92.0,49.28,64.61,68.0,49.58,65.0,46.0,25.11,59.0,85.56,81.0,69.3,52.0,0.0,8.450000000000001,100.0,43.0,47.04,38.760000000000005,64.80000000000001,88.0,86.0,24.18
24,44.16,69.6,40.2,50.6,64.0,36.21,40.8,21.46,42.25,39.1,24.8,34.22,66.24000000000001,60.3,70.0,79.0,0.0,8.450000000000001,63.0,24.51,43.12,48.96,57.510000000000005,63.36,69.66,17.16
25,48.0,61.77,46.900000000000006,25.76,45.44,33.37,29.92,25.16,32.5,31.28,27.59,27.14,57.04,51.3,50.4,56.0,0.0,7.54,53.0,38.7,34.79,66.64,46.17,57.2,64.5,18.46
26,32.64,60.03,13.4,39.56,46.08,29.82,27.200000000000003,26.64,28.6,31.74,20.77,23.01,53.36,49.5,54.6,51.0,50.16,5.46,44.0,32.68,33.32,38.080000000000005,41.31,46.64,62.78,18.72
27,25.6,60.03,17.42,60.720000000000006,51.84,26.98,25.840000000000003,28.86,26.0,34.96,25.11,21.83,56.120000000000005,52.2,47.6,58.0,0.0,5.07,45.0,30.53,39.69,13.6,41.31,52.8,52.46,13.78
28,49.92,61.77,19.43,81.88000000000001,52.48,15.62,18.360000000000003,27.38,23.4,32.2,16.74,16.52,46.0,45.0,35.7,67.0,0.0,7.28,40.0,19.35,39.2,34.68,58.32000000000001,41.36,40.42,11.7
29,36.96,53.6,14.28,0.0,45.5,18.0,9.6,20.7,13.64,29.61,15.68,9.1,29.24,29.11,29.700000000000003,35.52,69.0,4.51,26.6,19.98,34.08,17.94,43.99,42.84,45.0,15.41
30,36.3,49.6,36.720000000000006,47.04,37.8,18.0,10.8,10.35,14.08,36.66,19.6,10.85,30.6,29.11,47.52,18.24,40.71,3.63,28.88,14.43,32.64,11.96,54.78,37.8,67.5,14.95
31,48.18,64.0,34.0,36.12,37.8,22.0,22.8,32.43,25.96,46.53,21.000000000000004,21.7,63.92,61.06,44.88,65.28,0.0,7.15,72.96000000000001,25.53,38.4,12.42,38.18,70.56,65.7,22.31
32,46.86,68.8,13.6,53.76,35.7,26.5,20.4,33.809999999999995,24.64,45.59,26.040000000000003,21.0,53.040000000000006,59.64,52.8,71.03999999999999,0.0,7.04,69.16,22.2,33.12,13.8,53.95,62.16,67.5,11.5
33,36.3,67.2,21.08,63.84,36.4,24.0,20.8,29.67,25.52,42.77,20.160000000000004,21.35,52.36000000000001,57.51,48.84,96.0,0.0,5.06,61.56,24.79,37.92,22.540000000000003,63.08,77.28,59.4,13.34
34,50.82,66.4,59.16,84.0,43.4,27.5,23.200000000000003,30.36,32.12,44.65,21.840000000000003,24.5,55.760000000000005,59.64,42.9,85.44,0.0,6.82,71.44,20.72,40.32,13.34,56.44,67.2,60.3,13.34
35,52.14,64.8,14.96,62.16,44.1,27.5,21.200000000000003,0.0,28.16,41.36,17.92,23.1,49.64,60.35,26.4,62.4,0.0,5.5,70.68,22.94,43.2,22.08,47.31,42.84,41.4,5.5200000000000005
36,16.72,75.65,34.65,79.67999999999999,70.0,21.07,18.86,40.81,23.92,43.0,16.470000000000002,17.48,55.89,57.67,43.89,46.44,0.0,7.700000000000001,53.720000000000006,21.12,46.98,36.58,42.64,47.04,39.36,9.87
37,0.0,79.21000000000001,71.61,73.92,79.0,24.99,26.65,15.37,33.120000000000005,46.5,21.06,29.64,78.57000000000001,72.68,66.22,64.5,0.0,13.02,64.60000000000001,29.04,44.28,27.9,60.68,72.0,57.6,12.39
38,19.38,78.32000000000001,47.74,58.56,84.0,24.01,23.78,13.78,33.58,50.0,21.6,26.98,81.0,79.0,71.61,65.36,0.0,8.120000000000001,60.52,43.56,44.28,18.6,58.22,81.6,83.52,21.0
39,8.74,71.2,41.58,84.47999999999999,71.0,25.97,19.27,27.03,29.9,42.5,16.740000000000002,22.8,78.57000000000001,76.63000000000001,72.38,67.08,0.0,7.840000000000001,54.400000000000006,31.68,42.66,15.5,63.96,94.08,85.44,15.33
40,22.04,89.0,46.2,76.8,86.0,30.87,24.6,34.45,34.5,50.0,27.0,28.88,75.33,73.47,77.0,63.64,0.0,8.4,62.56,44.0,50.220000000000006,62.0,57.4,91.2,96.0,11.34
41,23.18,75.65,77.0,41.28,65.0,23.52,20.09,27.03,27.6,49.5,25.92,21.28,65.61,65.57000000000001,52.36,70.52,0.0,7.140000000000001,51.00000000000001,22.44,46.98,26.04,63.96,88.32,67.2,12.81
42,20.14,80.99,25.41,66.24,74.0,16.66,16.81,41.870000000000005,24.380000000000003,44.0,14.580000000000002,17.86,55.080000000000005,60.830000000000005,44.66,49.02,86.0,5.6000000000000005,57.8,14.52,54.0,42.16,41.82,73.92,39.36,6.3
43,0.0,73.72,70.0,22.5,98.0,15.4,11.2,27.0,19.74,36.72,20.54,14.85,55.44,55.5,39.96,75.66,0.0,4.3,35.989999999999995,17.2,42.900000000000006,12.24,51.7,63.36,33.300000000000004,15.36
44,30.24,73.72,87.0,19.5,81.34,17.6,15.36,50.25,25.62,40.29,13.0,18.48,78.96,71.25,62.16,74.69,0.0,4.0,40.12,18.0,39.6,14.96,46.06,79.2,36.0,16.08
45,56.00000000000001,85.36,60.0,30.75,73.5,20.68,14.08,43.5,24.36,45.9,16.64,19.8,78.96,64.5,65.86,62.08,0.0,5.4,46.02,20.4,46.75000000000001,31.96,63.92,99.0,68.4,17.52
46,36.96,78.57,44.0,35.25,64.67999999999999,8.8,12.48,30.75,21.42,46.41,19.76,17.16,77.28,69.0,56.98,84.39,0.0,3.7,41.89,30.4,44.55,12.920000000000002,74.25999999999999,90.09,59.4,15.12
47,50.400000000000006,78.57,73.0,72.75,62.72,19.8,13.44,24.0,23.52,45.39,13.26,17.82,76.44,68.25,69.56,77.6,40.88,5.800000000000001,40.71,25.6,44.55,24.48,66.74,81.17999999999999,77.4,15.12
48,14.560000000000002,83.42,84.0,33.75,71.53999999999999,25.52,15.68,42.0,24.36,45.9,21.84,19.47,74.75999999999999,66.75,56.24,71.78,0.0,3.8,41.89,31.6,46.75000000000001,17.68,73.32,81.17999999999999,58.5,12.0
49,15.12,80.50999999999999,66.0,73.5,61.74,19.8,11.52,50.25,20.58,43.35,18.46,15.18,63.84,59.25,34.78,44.62,0.0,3.6,40.12,16.8,51.150000000000006,30.6,94.0,78.21,50.4,11.04
50,14.1,72.24,42.24,43.88999999999999,61.49999999999999,39.68,21.6,55.2,26.32,36.48,7.28,21.6,53.46,55.3,40.8,70.47,8.55,4.03,43.66,26.22,45.9,25.62,57.4,78.32000000000001,37.38,10.8
51,31.49,69.72,58.88,23.94,52.48,41.6,24.48,13.6,24.91,44.64,9.62,23.6,50.16,54.6,47.6,85.26,0.0,9.36,40.71,13.68,42.84,21.35,54.94,66.75,59.63,9.36
52,38.07,73.08,14.08,17.099999999999998,52.48,48.0,35.52,79.2,34.78,44.64,2.34,28.8,56.1,65.8,50.32,44.37,0.0,13.0,43.66,23.56,44.37,43.92,64.78,87.22,63.19,11.52
53,39.95,70.56,26.88,23.37,53.3,32.64,24.96,24.0,27.26,46.56,3.77,22.4,48.18,51.1,61.88,67.86,0.0,9.62,43.07,31.54,43.35,28.06,74.61999999999999,82.77,61.41,11.7
54,34.78,66.36,26.88,33.059999999999995,57.4,64.0,48.0,48.0,47.0,39.36,2.21,40.0,56.760000000000005,62.99999999999999,57.120000000000005,36.54,7.98,7.28,59.0,18.24,38.76,16.47,61.49999999999999,75.65,79.21000000000001,10.26
55,20.68,64.67999999999999,48.0,16.529999999999998,54.12,45.44,33.12,42.400000000000006,33.84,38.4,3.38,26.4,42.24,46.9,40.8,46.11,0.0,7.67,38.94,23.94,40.8,20.74,60.68,77.43,70.31,11.34
56,23.03,68.88,44.16,13.68,58.22,37.12,21.6,55.2,24.44,38.88,2.21,21.200000000000003,40.92,46.2,37.400000000000006,70.47,0.0,6.24,37.17,23.18,43.35,19.52,55.76,72.09,45.39,9.36
57,27.56,73.47,77.4,32.68,56.16,40.95,16.65,77.0,22.96,38.88,2.1,23.4,34.2,41.48,40.88,57.27,0.0,4.4,35.1,17.94,51.52,23.8,50.15,71.76,55.8,8.64
58,24.44,64.78,36.9,41.04,53.04,51.66,22.94,0.0,27.06,39.36,2.0,27.69,38.76,43.92,66.42999999999999,49.8,0.0,5.300000000000001,39.42,19.5,44.8,25.2,56.1,80.04,74.4,9.36
59,33.28,70.31,72.9,39.52,63.96,63.0,37.0,51.59,41.0,48.0,2.6,39.0,42.18,42.7,68.62,80.50999999999999,0.0,3.0,52.92,24.57,44.24,61.6,61.2,90.16,78.12,13.86
60,27.04,71.10000000000001,90.0,76.0,59.28,49.77,28.49,77.0,32.8,46.56,3.1,31.200000000000003,36.48,39.04,59.86,72.21,0.0,2.3000000000000003,46.98,21.06,47.040000000000006,42.0,53.55,81.88000000000001,93.0,11.88
61,6.76,71.89,38.7,63.84,62.400000000000006,42.21,24.79,22.33,29.52,45.12,2.8000000000000003,27.69,34.2,36.6,65.7,65.57,0.0,2.2,41.580000000000005,19.11,47.040000000000006,37.1,49.3,92.0,86.49000000000001,10.26
62,0.0,68.73,43.2,37.24,61.620000000000005,43.47,23.68,13.86,27.47,40.32,1.8,24.96,32.489999999999995,34.16,52.56,68.06,0.0,1.7000000000000002,39.96,27.3,48.720000000000006,40.6,51.0,73.60000000000001,65.10000000000001,11.34
63,18.2,75.05,43.2,61.56,66.3,35.28,19.98,41.58,26.65,42.24,2.1,25.35,31.35,35.99,44.53,65.57,0.0,2.6,37.8,12.87,56.00000000000001,70.0,55.25,70.84,48.36,9.9
64,17.16,73.86999999999999,24.48,19.8,64.5,30.68,18.0,44.8,22.62,35.64,1.8,17.16,37.95,36.4,48.91,73.1,0.0,5.04,28.2,15.2,43.99,10.75,31.6,66.60000000000001,60.16,8.8
65,0.0,73.03999999999999,27.36,42.0,63.0,42.120000000000005,27.36,0.0,30.03,40.92,1.8,25.08,40.02,39.2,65.7,42.14,0.0,4.83,36.19,24.0,42.93,14.62,43.45,86.4,74.25999999999999,10.2
66,15.08,66.39999999999999,47.52,42.6,51.75,26.52,25.56,32.64,28.08,40.92,2.2,22.77,48.3,54.6,57.67,67.94,0.0,5.04,32.43,19.200000000000003,42.93,10.32,52.93,86.4,81.78,11.2
67,50.440000000000005,75.53,39.6,37.2,66.0,48.36,30.6,32.0,32.370000000000005,40.48,2.6,27.72,69.0,70.0,67.89,82.56,0.0,17.22,39.95,23.6,45.580000000000005,12.04,37.92,66.60000000000001,92.12,20.0
68,52.0,70.55,48.96,19.2,64.5,33.28,25.92,37.76,30.81,38.28,3.9,24.75,66.24,65.8,68.62,59.34,0.0,21.0,36.19,20.8,45.05,18.49,49.77,87.3,90.24,15.2
69,16.12,72.21,19.44,36.6,52.5,27.56,21.96,0.0,27.3,37.84,2.1,20.130000000000003,47.61,51.8,59.13,79.98,0.0,12.39,29.61,20.4,43.46,0.0,56.88,89.10000000000001,83.66,17.8
70,22.880000000000003,77.19,39.6,28.2,60.0,21.32,17.64,0.0,22.23,36.08,2.9000000000000004,16.17,44.85,46.9,51.1,79.12,0.0,9.03,26.79,24.8,45.580000000000005,0.0,48.98,59.4,52.64,12.0
71,10.29,75.67999999999999,39.690000000000005,24.78,46.2,18.49,13.05,56.0,17.28,30.24,1.2,12.69,26.880000000000003,26.320000000000004,54.02,76.25999999999999,0.0,4.62,24.3,16.38,45.1,21.84,44.62,62.1,42.33,7.65
72,0.0,73.96,41.31,24.19,53.9,27.95,15.95,62.0,21.12,36.12,1.28,16.740000000000002,30.800000000000004,30.800000000000004,72.27,71.33999999999999,0.0,4.340000000000001,29.7,19.74,45.1,20.8,77.6,81.9,83.0,8.84
73,20.09,79.98,42.120000000000005,33.04,43.4,24.51,15.37,97.0,19.2,39.48,1.52,17.01,29.120000000000005,29.120000000000005,73.0,58.22,0.0,4.760000000000001,27.9,27.72,45.650000000000006,21.84,76.63,88.2,70.55,12.58
74,29.89,80.84,45.36,35.4,49.7,28.81,16.24,62.0,21.44,38.64,1.52,18.9,30.800000000000004,30.24,62.05,74.61999999999999,0.0,6.16,34.2,22.26,49.50000000000001,18.72,59.17,87.3,51.46,9.52
75,0.0,78.26,63.99,27.73,43.4,18.49,14.21,0.0,19.84,34.86,0.88,16.470000000000002,30.800000000000004,29.120000000000005,60.59,60.68,0.0,6.300000000000001,29.7,28.98,42.900000000000006,26.52,97.0,79.2,61.42,9.35
76,11.27,79.12,46.98,35.4,56.0,19.35,15.079999999999998,80.0,19.84,33.6,0.0,14.04,32.480000000000004,35.28,59.13,71.33999999999999,0.0,3.92,33.300000000000004,19.74,48.95,26.0,44.62,71.10000000000001,54.78,10.88
77,14.7,79.98,34.02,24.19,70.0,25.37,13.34,79.0,19.84,33.18,3.04,13.5,30.24,29.120000000000005,48.18,36.08,0.0,4.340000000000001,34.2,18.06,52.8,16.12,70.81,68.4,32.37,6.970000000000001
78,23.85,80.04,46.36,15.19,74.48,11.55,12.32,28.88,18.55,34.32,14.31,12.6,31.8,31.86,43.92,38.07,0.0,3.84,39.22,31.200000000000003,54.6,13.2,61.11,68.25,40.48,8.1
79,20.67,75.69,19.76,28.91,47.88,13.2,13.72,0.0,20.3,40.48,14.580000000000002,14.560000000000002,31.2,30.68,69.84,58.32000000000001,0.0,5.28,40.28,30.68,53.4,22.4,65.96,72.8,90.16,8.82
80,23.32,78.3,38.0,22.05,61.56,14.19,14.000000000000002,27.36,21.7,40.92,18.36,16.520000000000003,36.0,33.629999999999995,61.92,60.75000000000001,16.2,7.04,47.17,30.16,49.2,17.2,60.14,77.35000000000001,69.0,9.54
81,0.0,75.69,32.68,23.52,58.52,13.2,12.6,0.0,19.95,36.96,17.01,13.72,38.4,33.04,59.76,50.220000000000006,0.0,4.64,41.870000000000005,31.72,48.0,19.200000000000003,59.17,62.79,76.36,13.14
82,6.890000000000001,79.17,28.12,29.4,63.08,15.18,15.12,15.96,22.75,39.6,21.87,17.360000000000003,42.0,38.35,60.48,75.33,0.0,9.28,50.88,26.52,51.6,11.2,75.66,64.61,59.8,11.7
83,0.0,80.91,40.28,18.13,58.52,13.2,15.12,43.32,23.1,39.16,24.3,18.48,34.8,35.4,65.52,71.28,0.0,6.08,42.93,52.0,52.2,22.4,78.57,78.26,82.8,9.54
84,24.91,84.39,50.92,24.99,68.4,14.85,12.32,50.92,20.65,36.96,16.470000000000002,14.560000000000002,33.0,31.86,30.24,81.0,0.0,6.72,38.16,28.08,57.0,9.6,57.23,69.16,56.120000000000005,12.78
85,22.94,81.7,60.8,40.02,75.84,23.6,13.5,48.36,22.75,36.45,27.3,18.0,41.6,40.96,50.32,65.6,0.0,6.16,42.66,35.77,53.94,17.6,49.84,71.25,53.010000000000005,10.8
86,56.24,85.14,34.2,60.03,62.41,28.0,16.740000000000002,45.24,26.95,39.6,31.08,25.2,48.75,44.8,62.16,62.31999999999999,0.0,5.460000000000001,54.0,41.65,46.98,33.550000000000004,51.62,91.2,91.14,11.52
87,36.26,79.98,32.68,53.13,65.57000000000001,18.4,14.85,0.0,22.4,44.1,33.6,20.4,45.5,39.68,73.26,63.96,0.0,4.340000000000001,48.06,33.32,46.4,41.25,59.63,88.35,83.7,12.6
88,68.08,78.26,39.52,44.16,75.05,18.8,14.04,0.0,22.05,37.35,42.0,18.0,48.1,44.8,68.08,52.48,0.0,4.2,46.440000000000005,28.42,47.56,35.75,64.08,93.1,83.7,12.78
89,36.26,86.0,56.24,57.27,67.15,16.0,12.15,48.36,20.65,37.8,33.18,16.8,46.8,42.24,69.56,76.25999999999999,11.97,5.74,39.96,40.67,48.72,11.55,51.62,94.05,77.19,11.52
90,54.02,76.53999999999999,41.04,0.0,60.040000000000006,31.6,23.49,31.98,29.4,28.8,21.42,26.1,59.8,54.4,50.32,58.22,4.75,9.38,51.3,39.2,52.2,20.35,80.1,73.14999999999999,65.10000000000001,7.38
91,37.74,74.82,59.28,33.809999999999995,59.25,19.200000000000003,22.41,27.3,27.65,29.7,28.98,22.5,57.2,55.68,34.78,58.22,4.94,13.86,54.0,28.42,56.26,9.9,88.11,46.55,39.99,11.34
92,21.12,78.26,37.8,42.25,48.99,16.12,17.82,43.86,22.01,25.52,72.0,20.520000000000003,53.68,49.59,37.23,68.06,0.0,13.0,43.2,27.36,54.52,26.52,56.98,53.94,29.05,10.2
93,48.0,78.26,41.3,26.65,46.15,21.7,18.04,42.14,23.25,31.24,93.0,22.950000000000003,53.07,48.45,65.7,51.66,0.0,7.67,40.05,42.72,50.46,34.84,61.6,79.17,59.76,11.6
94,27.84,78.26,58.1,22.1,44.73,18.91,16.94,35.26,22.63,33.44,88.0,21.06,53.07,49.59,60.59,63.13999999999999,0.0,10.53,40.5,41.76,49.88,16.12,73.92,66.99,65.57,14.4
95,0.0,80.08,41.3,31.85,49.7,20.15,18.26,68.8,26.35,30.36,93.0,25.110000000000003,57.95,56.99999999999999,63.51,63.13999999999999,0.0,12.22,44.55,41.28,49.3,10.92,48.51,64.38,50.63,12.0
96,14.4,79.17,66.5,20.8,44.02,21.7,17.38,74.82,25.42,29.48,82.0,22.41,53.07,46.74,52.56,58.22,0.0,12.09,36.0,48.0,49.3,26.52,74.69,73.08,68.06,12.0
97,19.2,78.26,56.7,29.25,61.06,22.01,17.6,0.0,26.04,30.8,93.0,22.14,52.46,49.02,56.94,72.16,0.0,10.4,38.25,42.72,52.78,26.52,52.36,70.47,58.1,15.4
98,24.48,76.44,44.8,42.9,56.8,15.81,16.28,63.64,23.87,35.2,67.0,19.44,49.41,48.45,32.85,63.96,0.0,7.930000000000001,33.300000000000004,31.2,56.84,24.44,60.06,50.46,38.18,8.6
99,36.96,80.99000000000001,61.1,34.72,67.15,20.4,19.0,30.020000000000003,24.96,32.76,74.52000000000001,18.98,54.29,51.6,54.0,37.63,0.0,6.800000000000001,31.08,29.04,53.58,19.78,63.51,76.0,31.92,11.13
100,24.96,72.8,27.95,40.3,62.41,34.0,25.0,65.57000000000001,32.0,43.16,66.24000000000001,26.0,58.56,56.4,57.0,67.45,0.0,7.6,40.74,32.12,52.44,46.0,73.95,80.75,55.44,15.33
101,32.16,75.53,59.15,62.0,55.3,24.82,24.25,41.870000000000005,26.88,37.96,72.68,25.74,59.78,54.6,57.75,50.41,8.75,5.5,36.96,36.52,47.88,0.0,69.6,76.0,65.52,13.23
102,45.6,76.44,35.75,24.8,66.36,18.02,22.5,0.0,26.24,38.48,84.64,21.32,50.63,52.2,56.25,37.63,0.0,7.800000000000001,33.6,40.92,50.73,0.0,85.26,75.05,44.52,14.07
103,17.28,79.17,50.05,45.26,61.620000000000005,22.1,20.0,32.39,25.92,40.56,92.0,18.46,51.24,49.2,58.5,34.08,7.0,4.3,33.6,34.32,51.3,17.94,87.0,81.7,66.36,12.81
104,25.44,78.26,46.15,45.26,55.3,25.16,21.0,51.35,24.0,43.16,69.92,19.5,51.85,51.0,54.0,54.67,0.0,5.9,30.66,34.76,53.58,33.58,75.69,84.55,57.96,10.92
105,42.72,81.9,39.65,29.14,56.88,12.920000000000002,17.5,26.86,20.48,36.92,59.8,17.42,46.97,46.2,42.75,43.31,0.0,4.2,29.4,19.36,54.15,30.82,69.6,59.85,44.52,12.18
106,14.57,80.04,24.05,25.2,54.0,14.21,16.5,35.1,17.92,31.74,60.06,15.36,45.1,44.52,34.04,52.44,6.800000000000001,3.6,29.93,15.18,57.04,35.04,59.84,66.64,44.0,9.84
107,26.79,78.2,49.4,28.35,50.4,21.75,19.8,56.940000000000005,22.4,46.0,75.53,20.88,55.00000000000001,49.82,51.8,42.56,0.0,6.3,34.85,34.96,53.32,0.0,75.68,85.26,93.0,19.44
108,0.0,74.52000000000001,60.45,24.57,51.12,14.79,17.6,43.68,20.44,34.5,75.53,18.96,46.2,42.400000000000006,63.64,58.52,0.0,3.87,31.57,45.080000000000005,55.18,37.44,87.12,68.6,87.0,24.0
109,43.71,92.0,47.45,12.6,53.28,13.63,16.72,78.0,20.72,27.14,81.9,19.2,38.5,39.75,74.0,37.24,0.0,5.94,33.21,43.24,52.08,29.76,77.44,98.0,100.0,17.52
110,35.25,80.04,23.4,8.82,44.64,17.4,16.72,17.94,19.880000000000003,24.84,77.35000000000001,18.24,37.95,40.81,57.72,76.0,0.0,6.12,30.75,34.5,54.56,24.96,80.08,68.6,89.0,17.28
111,31.96,81.88000000000001,65.0,33.39,50.4,15.95,17.38,12.48,19.6,22.540000000000003,71.89,17.28,36.3,34.980000000000004,61.42,55.48,0.0,5.94,30.34,39.56,60.76,38.88,80.08,80.36,87.0,17.759999999999998
112,40.89,84.64,28.6,38.43,48.24,17.11,16.06,76.44,18.200000000000003,23.92,58.24,16.32,35.2,33.39,42.18,59.28,0.0,4.14,28.29,26.22,62.0,28.8,76.56,55.86,39.0,12.48
113,15.21,73.1,41.89,16.52,65.45,17.099999999999998,15.18,43.07,16.8,16.099999999999998,55.89,17.0,27.26,26.22,37.0,73.5,0.0,5.85,22.8,22.26,51.84,16.77,53.3,69.16,39.48,5.04
114,12.48,70.52,25.37,24.19,76.5,17.4,19.14,33.04,22.12,17.849999999999998,64.80000000000001,22.5,31.96,34.5,56.24,39.0,0.0,4.859999999999999,30.02,41.16,49.68000000000001,23.79,68.88,62.79,86.47999999999999,8.64
115,32.76,73.96,36.58,23.6,79.05,18.0,20.24,0.0,23.520000000000003,19.25,69.66000000000001,22.75,38.07,38.18,66.6,57.75,0.0,5.13,33.44,34.86,48.06,8.19,70.52,72.8,78.96,11.34
116,0.0,72.24,35.4,27.73,85.0,18.3,17.82,12.39,21.000000000000004,17.849999999999998,63.99,20.5,30.55,33.120000000000005,56.98,61.5,0.0,6.66,28.88,34.86,44.28,10.14,72.97999999999999,73.71000000000001,67.67999999999999,10.8
117,0.0,70.52,37.17,28.91,77.35,14.4,17.16,8.85,21.000000000000004,17.5,65.61,19.25,31.49,32.660000000000004,69.56,48.75,0.0,7.109999999999999,27.74,42.0,44.28,17.16,82.0,77.35000000000001,77.08,7.739999999999999
118,0.0,70.52,34.22,21.83,68.0,20.1,17.38,35.4,21.000000000000004,17.15,53.46,20.25,33.37,32.660000000000004,51.06,26.25,0.0,3.51,24.7,24.78,48.06,15.99,59.86,78.26,85.53999999999999,9.54
